prompt,description,inputs,steps,expected_output,platform,domain,feature,aspect,scope
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; kiểm thử chức năng theo yêu cầu nghiệp vụ - Tạo test case cho đăng ký - chức năng (tổng quát) [cả hai],Ghi nhận ngày giờ chấp nhận điều khoản vào hồ sơ tài khoản,"ngày=""dd/mm/yyyy""","1) Hoàn tất đăng ký
2) kiểm tra bản ghi người dùng
3) Quan sát kết quả",Có timestamp lưu lại việc chấp nhận điều khoản,cả hai,tổng quát,đăng ký,chức năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; kiểm thử chức năng theo yêu cầu nghiệp vụ - Tạo test case cho đăng ký - chức năng (tổng quát) [cả hai],Hỗ trợ đa ngôn ngữ cho điều khoản và chính sách,Không có,"1) Đổi ngôn ngữ giao diện
2) mở điều khoản
3) Quan sát kết quả",Nội dung hiển thị đúng ngôn ngữ đã chọn,cả hai,tổng quát,đăng ký,chức năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; kiểm thử chức năng theo yêu cầu nghiệp vụ - Tạo test case cho đăng ký - chức năng (tổng quát) [cả hai],Quy trình rút lại chấp thuận sau đăng ký,"email=""..."", password=""...""","1) Thực hiện yêu cầu rút lại chấp thuận
2) quan sát xử lý
3) Quan sát kết quả",Hệ thống hướng dẫn tác động đến tài khoản và cập nhật trạng thái,cả hai,tổng quát,đăng ký,chức năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; kiểm thử chức năng theo yêu cầu nghiệp vụ - Tạo test case cho đăng ký - chức năng (tổng quát) [cả hai],Ngăn tạo trùng tài khoản theo email,Không có,"1) Đăng ký bằng email đã tồn tại
2) nhấn Đăng ký
3) Quan sát kết quả","Bị từ chối, hiển thị lỗi email đã được sử dụng",cả hai,tổng quát,đăng ký,chức năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; kiểm thử chức năng theo yêu cầu nghiệp vụ - Tạo test case cho đăng ký - chức năng (tổng quát) [cả hai],Không cho ký tự cấm và khoảng trắng trong tên người dùng,Không có,"1) Nhập username chứa ký tự cấm hoặc khoảng trắng
2) nhấn Đăng ký
3) Quan sát kết quả",Bị từ chối với thông báo định dạng tên người dùng không hợp lệ,cả hai,tổng quát,đăng ký,chức năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; kiểm thử chức năng theo yêu cầu nghiệp vụ - Tạo test case cho đăng ký - chức năng (tổng quát) [cả hai],Xử lý email phân biệt chữ hoa thường theo chuẩn,Không có,"1) Nhập User@email
2) com và user@email
3) com để kiểm tra trùng","Hai biến thể được coi là cùng một email theo chuẩn, không tạo trùng",cả hai,tổng quát,đăng ký,chức năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; kiểm thử chức năng theo yêu cầu nghiệp vụ - Tạo test case cho đăng ký - chức năng (tổng quát) [cả hai],Xử lý tên người dùng rất dài trong giới hạn độ dài,Không có,"1) Nhập username gần chạm giới hạn
2) nhấn Đăng ký
3) Quan sát kết quả","Form chỉ chấp nhận đến giới hạn, hiển thị lỗi nếu vượt",cả hai,tổng quát,đăng ký,chức năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; kiểm thử chức năng theo yêu cầu nghiệp vụ - Tạo test case cho đăng ký - chức năng (tổng quát) [cả hai],Ngăn đăng ký với username đã được dùng,"email=""..."", password=""...""","1) Nhập username đã tồn tại
2) nhấn Đăng ký
3) Quan sát kết quả",Hiển thị lỗi username đã được sử dụng,cả hai,tổng quát,đăng ký,chức năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; kiểm thử chức năng theo yêu cầu nghiệp vụ - Tạo test case cho đăng ký - chức năng (tổng quát) [cả hai],Ngăn tạo trùng khi đăng ký bằng tài khoản mạng xã hội,"email=""..."", password=""...""","1) Dùng cùng một hồ sơ Google Facebook để đăng ký nhiều lần
2) Thực hiện hành động theo mô tả
3) Quan sát kết quả","Không tạo thêm tài khoản trùng, liên kết về tài khoản hiện có",cả hai,tổng quát,đăng ký,chức năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; kiểm thử chức năng theo yêu cầu nghiệp vụ - Tạo test case cho đăng ký - chức năng (tổng quát) [cả hai],Xử lý khi người dùng hủy kích hoạt rồi đăng ký lại bằng email cũ,"email=""..."", password=""...""","1) Hủy kích hoạt tài khoản
2) thử đăng ký lại bằng cùng email
3) Quan sát kết quả",Hệ thống hướng dẫn khôi phục hoặc cho đăng ký mới theo chính sách,cả hai,tổng quát,đăng ký,chức năng,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]","Xác thực đầu vào, từ chối ký tự có hại như SQL injection và script",Không có,"1) Nhập payload SQL hoặc script vào các trường
2) gửi form
3) Quan sát kết quả","Đầu vào bị chặn hoặc được làm sạch an toàn, không thực thi",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Kiểm tra XSS bằng cách chèn script vào trường nhập,Không có,"1) Nhập <script> vào các trường
2) gửi form
3) Quan sát kết quả","Không thực thi script, dữ liệu được encode",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Kiểm tra CSRF bằng cách mô phỏng gửi form trái phép,Không có,"1) Tạo request đăng ký mà không có CSRF token hợp lệ
2) Thực hiện hành động theo mô tả
3) Quan sát kết quả","Yêu cầu bị từ chối, phản hồi 4xx an toàn",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Xử lý ký tự HTML entity và URL-encoded,Không có,"1) Nhập dữ liệu chứa &lt
2) &gt
3) %3C %3E
4) gửi form","Hệ thống giải mã và kiểm tra đúng cách, không gây lỗi",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Áp dụng chính sách mật khẩu mạnh,Không có,"1) Cấu hình yêu cầu độ dài tối thiểu và tổ hợp ký tự
2) thử nhập các trường hợp không đạt
3) Quan sát kết quả","Các mật khẩu yếu bị từ chối, thông báo rõ tiêu chí",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Hash và mã hóa lưu trữ mật khẩu trong DB,Không có,"1) Đăng ký tài khoản
2) kiểm tra bản ghi mật khẩu ở môi trường kiểm thử
3) Quan sát kết quả","Mật khẩu không lưu dạng rõ, được hash kèm salt theo chuẩn",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Không hiển thị mật khẩu dạng rõ trong quá trình đăng ký,"email=""..."", password=""...""","1) Nhập mật khẩu
2) quan sát ô nhập và logs
3) Quan sát kết quả","Không lộ plaintext, ký tự được che, logs không ghi plaintext",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Phát hiện brute-force đối với mật khẩu phổ biến,Không có,"1) Thử đăng ký với mật khẩu phổ biến nhiều lần
2) Thực hiện hành động theo mô tả
3) Quan sát kết quả",Bị từ chối hoặc bị rate-limit theo chính sách,cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Hiển thị đánh giá độ mạnh mật khẩu cho người dùng,giá_trị=...,"1) Nhập các biến thể mật khẩu
2) quan sát indicator
3) Quan sát kết quả","Indicator phản hồi theo thời gian thực, hướng dẫn tạo mật khẩu mạnh",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Quản lý phiên an toàn với cookie bảo mật và hết hạn hợp lý,Không có,"1) Đăng ký
2) quan sát cookie HttpOnly Secure SameSite
3) giữ phiên rảnh tay đến hết hạn","Cookie được đặt thuộc tính an toàn, phiên hết hạn đúng thiết kế",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Đăng ký với tài khoản đang bị khóa hoặc cấm,"email=""..."", password=""...""","1) Dùng email thuộc tài khoản bị khóa
2) gửi form
3) Quan sát kết quả","Hiển thị hướng dẫn phù hợp, không cho tạo tài khoản mới",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Không tiết lộ email đã đăng ký trong phản hồi,"email=""..."", password=""...""","1) Thử đăng ký với email đã đăng ký và chưa đăng ký
2) so sánh phản hồi
3) Quan sát kết quả",Phản hồi không cho biết email đã tồn tại hay chưa ở mức chi tiết,cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Khóa tạm theo IP sau nhiều lần thử đăng ký thất bại,"email=""..."", password=""...""","1) Gửi nhiều yêu cầu đăng ký thất bại từ cùng IP
2) Thực hiện hành động theo mô tả
3) Quan sát kết quả",Hệ thống kích hoạt cơ chế lockout hoặc rate-limit,cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Áp dụng rate limiting với tần suất đăng ký bất thường,"email=""..."", password=""...""","1) Tạo lưu lượng đăng ký dày từ cùng IP
2) quan sát phản hồi
3) Quan sát kết quả","Yêu cầu bị giới hạn tần suất, dịch vụ vẫn ổn định",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
"Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật, kiểm soát truy cập & ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai]",Tuân thủ quy định bảo mật dữ liệu như GDPR với consent rõ ràng,Không có,"1) Quan sát checkbox đồng ý xử lý dữ liệu và chính sách
2) đăng ký
3) Quan sát kết quả","Có thu thập consent rõ ràng, được ghi nhận kèm thời gian",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật; kiểm soát truy cập; ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai],Xử lý yêu cầu xóa tài khoản và dữ liệu cá nhân an toàn,Không có,"1) Gửi yêu cầu xóa tài khoản sau khi đăng ký
2) Thực hiện hành động theo mô tả
3) Quan sát kết quả","Dữ liệu được xóa hoặc ẩn theo quy trình, có xác nhận",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật; kiểm soát truy cập; ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai],Lưu trữ dữ liệu nhạy cảm như mật khẩu email an toàn,Không có,"1) Kiểm tra cơ chế mã hóa vận chuyển
2) lưu trữ
3) Quan sát kết quả",Dữ liệu được mã hóa khi truyền và lưu theo chuẩn,cả hai,tổng quát,đăng ký,bảo mật,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật; kiểm soát truy cập; ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai],Không lộ thông tin nhạy cảm trong thông báo lỗi và header phản hồi,Không có,"1) Gây lỗi có kiểm soát
2) quan sát thông báo và header
3) Quan sát kết quả",Không tiết lộ stacktrace cấu hình hoặc dữ liệu cá nhân,cả hai,tổng quát,đăng ký,bảo mật,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật; kiểm soát truy cập; ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai],Bảo mật quy trình xác minh email,Không có,"1) Cố tình sửa tham số liên kết xác minh
2) dùng liên kết hết hạn
3) Quan sát kết quả","Không thể xác minh trái phép, hiển thị hướng dẫn hợp lệ",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật; kiểm soát truy cập; ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai],Dùng CAPTCHA chống bot khi đăng ký,"email=""..."", password=""...""","1) Kích hoạt CAPTCHA
2) thử gửi mà không hoàn thành
3) Quan sát kết quả",Form bị chặn đến khi CAPTCHA hợp lệ,cả hai,tổng quát,đăng ký,bảo mật,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật; kiểm soát truy cập; ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai],Tính năng khôi phục mật khẩu an toàn,Không có,"1) Thực hiện quên mật khẩu
2) quan sát liên kết và bước xác thực
3) Quan sát kết quả","Không rò rỉ dữ liệu, cho phép đặt lại an toàn",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật; kiểm soát truy cập; ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai],Không tiết lộ sự tồn tại tài khoản khi khôi phục,Không có,"1) Nhập email đã đăng ký và chưa đăng ký
2) so sánh thông báo
3) Quan sát kết quả","Thông báo chung, không tiết lộ email hợp lệ",cả hai,tổng quát,đăng ký,bảo mật,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên bảo mật; kiểm soát truy cập; ghi log - Tạo test case cho đăng ký - bảo mật (tổng quát) [cả hai],Ngăn user enumeration qua reset mật khẩu,Không có,"1) Thử reset với email hợp lệ
2) không hợp lệ qua API
3) UI",Không phân biệt phản hồi dẫn đến suy luận tài khoản,cả hai,tổng quát,đăng ký,bảo mật,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Kiểm thử tải thấp khoảng 10 người dùng đồng thời,Không có,"1) Mô phỏng 10 người gửi form đăng ký cùng lúc
2) Thực hiện hành động theo mô tả
3) Quan sát kết quả","Tất cả yêu cầu hoàn thành thành công, thời gian phản hồi tốt",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Tăng dần lên tải trung bình khoảng 100 người dùng,Không có,"1) Tăng số người dùng đồng thời đến 100
2) ghi nhận hiệu năng
3) Quan sát kết quả","Phản hồi trong ngưỡng chấp nhận, không lỗi 5xx hàng loạt",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Kiểm thử đỉnh tải 500 người dùng trở lên,Không có,"1) Mô phỏng 500+ người dùng cùng đăng ký
2) theo dõi hệ thống
3) Quan sát kết quả",Hệ thống ổn định hoặc degrade có kiểm soát theo thiết kế,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Kiểm tra khả năng xử lý spike traffic tăng giảm nhanh,Không có,"1) Tạo spike tăng mạnh rồi giảm đột ngột
2) quan sát
3) Quan sát kết quả","Hệ thống hấp thụ spike, không sập",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Kiểm thử tải kéo dài 24 giờ,Không có,"1) Chạy kịch bản đăng ký liên tục 24h
2) theo dõi rò rỉ tài nguyên
3) Quan sát kết quả","Không rò rỉ tài nguyên, hiệu năng ổn định",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Khả năng scale ngang bằng cách bổ sung instance,Không có,"1) Thêm instance ứng dụng
2) phân phối tải qua load balancer
3) Quan sát kết quả","Tải được phân bổ đều, thông lượng tăng tỷ lệ",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Khả năng scale dọc bằng tăng tài nguyên hệ thống,Không có,"1) Tăng CPU RAM của máy chủ
2) đo hiệu năng
3) Quan sát kết quả",Hiệu năng cải thiện tương ứng cấu hình,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Tự động mở rộng tài nguyên khi tải tăng đột biến,Không có,"1) Cấu hình auto scaling
2) mô phỏng tải tăng
3) quan sát","Tự động scale không downtime, hiệu năng ổn định",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Hiệu năng với các mức đăng ký khác nhau mỗi giờ,giá_trị=...,"1) Chạy kịch bản 100 1000 10000 đăng ký mỗi giờ
2) Thực hiện hành động theo mô tả
3) Quan sát kết quả",Hệ thống đáp ứng mục tiêu ở từng mức tải,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Đo thời gian phản hồi trung bình trong điều kiện bình thường,Không có,"1) Gửi nhiều yêu cầu đăng ký đơn lẻ
2) ghi nhận thời gian phản hồi
3) Quan sát kết quả",Thời gian trung bình đạt chuẩn baseline,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Đánh giá thời gian phản hồi khi tải tăng,giá_trị=...,"1) Tăng dần số yêu cầu đồng thời
2) đo thời gian
3) Quan sát kết quả",Thời gian phản hồi vẫn trong giới hạn SLA,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Tính thông lượng đăng ký mỗi giây,"email=""..."", password=""...""","1) Tăng tải
2) tính số đăng ký xử lý mỗi giây
3) Quan sát kết quả",Thông lượng đạt mục tiêu đề ra,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Đo thời gian phản hồi trong giờ cao điểm,Không có,"1) Mô phỏng lưu lượng cao điểm
2) đo thời gian cho mỗi yêu cầu
3) Quan sát kết quả",Không có suy giảm nghiêm trọng hoặc điểm nghẽn,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Xử lý burst đăng ký không làm tăng thời gian phản hồi đáng kể,"email=""..."", password=""...""","1) Tạo burst ngắn cường độ cao
2) đo thời gian phản hồi
3) Quan sát kết quả",Thời gian tăng trong phạm vi chấp nhận,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Hiệu năng dưới điều kiện cực đoan vượt xa tải dự kiến,Không có,"1) Tăng tải vượt mức dự kiến nhiều lần
2) quan sát hệ thống
3) Quan sát kết quả","Hệ thống suy giảm có kiểm soát, không mất dữ liệu",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Xác định điểm gãy của hệ thống,Không có,"1) Tăng tải từ từ cho đến khi thất bại
2) ghi nhận ngưỡng và hành vi lỗi
3) Quan sát kết quả","Ghi nhận điểm gãy, lỗi hiển thị có kiểm soát",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Khả năng phục hồi sau stress test,Không có,"1) Ngừng tải
2) theo dõi thời gian hệ thống hồi phục
3) Quan sát kết quả",Hệ thống trở lại mức hiệu năng bình thường trong thời gian mục tiêu,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Stress kéo dài 48 giờ phát hiện rò rỉ tài nguyên,Không có,"1) Chạy stress dài hạn
2) theo dõi CPU RAM Disk Network
3) Quan sát kết quả","Không rò rỉ đáng kể, hiệu năng không giảm dần",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Thoái lui chức năng ưu tiên khi stress cao,Không có,"1) Tạo stress cực cao
2) quan sát tính năng bị hạn chế
3) Quan sát kết quả","Hệ thống ưu tiên chức năng cốt lõi, vẫn đăng ký được ở mức tối thiểu",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Giám sát sử dụng CPU khi kiểm thử hiệu năng,giá_trị=...,"1) Bật metric CPU
2) chạy bài test tải
3) Quan sát kết quả",CPU không vượt ngưỡng cảnh báo trong thời gian dài,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Theo dõi bộ nhớ để phát hiện rò rỉ,Không có,"1) Bật metric RAM
2) chạy test kéo dài
3) Quan sát kết quả",Không tăng trưởng RAM bất thường theo thời gian,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Đánh giá truy vấn cơ sở dữ liệu và thời gian phản hồi,"truy_vấn=..., dữ_liệu=tập dữ liệu","1) Bật trace DB
2) đo thời gian các truy vấn khi đăng ký
3) Quan sát kết quả","Truy vấn hiệu quả, không lock lâu, không timeout",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Kiểm tra băng thông mạng khi đăng ký,"email=""..."", password=""...""","1) Theo dõi throughput mạng trong test
2) Thực hiện hành động theo mô tả
3) Quan sát kết quả",Không gây nghẽn băng thông cục bộ,cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
Hệ thống cả hai; vai trò: Người dùng/Tester; môi trường: Chrome/Edge; ưu tiên hiệu năng (SLA/latency/throughput); môi trường gần sản xuất - Tạo test case cho đăng ký - hiệu năng (tổng quát) [cả hai],Đo tác động I O đĩa trong quá trình đăng ký,"email=""..."", password=""...""","1) Theo dõi IOPS
2) latency đĩa khi tải cao
3) Quan sát kết quả","I O ổn định, không tạo điểm nghẽn lưu trữ",cả hai,tổng quát,đăng ký,hiệu năng,dùng chung
